id,txt
1,"Obama 大勝 美國 頭一位 烏人 總統"
2,"駐美 特派員 曹郁芬 華府 報導"
3,"Obama 大勝 美國 頭一位 烏人 總統"
4,"壓倒性 勝利 創造 新歷史"
5,"民主黨 總統 候選人 Obama 四日 以 壓倒性 勝利"
6,"當選 美國 歷史 上 頭一位 烏人 總統"
7,"伊 佇 Chicago 的 勝選 演說 中"
8,"對著 二十 偌 萬 支持者 宣告"
9,"改變 已經 來到 美國"
10,"佇 已經 開出 的 選票 中"
11,"Obama 毋但 以 百分之 五十二"
12,"（ 大概 六千兩百九十六 萬 票 ） 的 普選 票"
13,"贏過 共和黨 候選人 McCain 的 百分之 四十六"
14,"（ 大概 五千五百七十六 萬 票 ）"
15,"選舉人 票 kinn1 超越 McCain 一倍 偌"
16,"選舉人 票 kinn1 超越 McCain 一倍 偌"
17,"四十七 歲 的 Obama"
18,"將佇 明年 一月 二十 日 宣誓就職"
19,"成為 美國 第四十四 屆 總統"
20,"美國 所有 大電視網"
21,"佇 美東 時間 四號 深夜 十一 點 宣布"
22,"Obama 的 選舉人 票數"
23,"已 超越 當選 所需要 的 兩百七十 票"
24,"守佇 Chicago 競選 總部"
25,"佮 全國 各地 Obama 的 支持者"
26,"彼時陣 響起 一四界 歡呼聲"
27,"下命 弄著 國旗"
28,"真濟 支持者 激動到 流目屎"
29,"互相 相攬"
30,"美國 主流 報紙 五號"
31,"紛紛 以 「 Obama 創造 歷史 」 做 標題"
32,"宣告 Obama 成為 美國 白宮 sin1 主人"
33,"Obama 的 普選 票 得票 率 是 Johnson 總統 以來"
34,"民主黨 總統 候選人 得票 上懸 的 一屆"
35,"Bush 總統 隨 拍電話 向 Obama 恭喜"
36,"民主黨 佇 參眾兩院 攏是 贏的"
37,"佇 已經 開出 的 票 當中"
38,"民主黨 佇 一百席 的 參院 雖然 無 伐過 六十席 的 戶橂"
39,"但是 已 取得 五十六席"
40,"佇 眾院 的 席次 ⿳ㄨㄢ⿳⿳ㄋㄚˋ 增加到 兩百 五十二 席"
41,"百名 認養兒 遍佈 全球 伊是 聯合國 阿爸"
42,"自由時報 記者 楊金城 臺南報導"
43,"伊是 「 聯合國 阿爸 」 ，"
44,"認養的 兒童 遍及 國內外 ！"
45,"臺南縣 新營市 大宏里 里長 ，"
46,"蔡崇名 細漢時 生活困苦 ，"
47,"早年 爸母 傱攢 學費的 損神表情 ，"
48,"予伊 下願 認養 兒童 ，"
49,"毋甘 學生 因為 散赤 所以 失學 ，"
50,"這份 愛心 猶延長到 國外 ；"
51,"家扶基金會 統計 ，"
52,"二十一年來 認養的 人數 超過 一百人 ，"
53,"捐助 認養 費用 超過 三百萬 。"
54,"蔡崇名 目前 猶是 十八个 認養兒 ，"
55,"猶是 國內 、 國外 對半的 契爸 ，"
56,"是 雲嘉南區 上濟 契囝 的 愛心阿爸 。"
57,"家扶中心 社工 佮 認養兒 ，"
58,"稱呼 伊是 「 聯合國 阿爸 」 ，"
59,"代表 伊的 愛心 無分 海內外 ，"
60,"更加 重要是 連紲 到今 ，"
61,"對伊 有著 深深 感恩 佮 尊敬 。"
62,"非洲 、 南美洲 攏有 契囝 ，"
63,"二十一年來 ，"
64,"蔡崇名 兒童 總數 超過 一百人 ，"
65,"其中 國外 囡仔 上遠 蹛佇 非洲 Guinea ，"
66,"嘛有 南美洲 巴西 、 印度 、 Guatemala ，"
67,"認養 時間 上久的 是 一位 國內 兒童 ，"
68,"接近 二十年 。"
69,"對 蔡崇名 來講 ，"
70,"囡仔的 肉色 雖然 無仝款 ，"
71,"毋過 攏是 伊的 寶貝 。"
72,"蔡崇名 是 在任 新營市 大宏里長 ，"
73,"佮 新營 公益慈善基金會 董事長 。"
74,"早前 四个 兄弟姊妹 細漢時 綴著 爸母 ，"
75,"對 貧苦的 布袋 海邊 搬到 新營 謀生 ，"
76,"日子 柄無好過 ，"
77,"猶和 老母 佇 新營火車頭 頭前 賣麵 ；"
78,"伊 回想 囡仔時 ，"
79,"爸母 為著 傱攢 學費的 苦惱 表情 ，"
80,"產生 助學 念頭 ，"
81,"毋甘 散赤 囡仔 有艱苦 求學路 ，"
82,"二十一年前 拄仔好 老母 身體 毋好 ，"
83,"伊 發願 認養 助學 ，"
84,"嘛向望 老母 身體 勇起來 。"
85,"蔡崇名 用 個人所得 認養 兒童 ，"
86,"家扶 請求 支援 佮 提供 認養 對象 ，"
87,"攏是 來者無拒絕 ，"
88,"伊講 「 有能力 ， 都加做寡 」 ，"
89,"伊無要求 回報 ，"
90,"上歡喜的 代誌 都是 看著 認養兒 大漢 。"
91,"蔡崇名 熱心公義 的 善行 ，"
92,"今年 被提名 相爭 全國 好人好事 ，"
93,"毋過 是毋是 得獎 已經 無重要 ，"
94,"因為佇 認養兒 的 內心 ，"
95,"伊是 永遠的 「 第一名 」 阿爸 。"
96,"抗議 警察 施暴 學界 串聯 靜坐"
97,"記者 范正祥 、 駐歐洲 特派員 胡蕙寧 綜合報導"
98,"數百名 經過 網路 串聯 ，"
99,"來自 全臺灣 各地的 大學生 、"
100,"教授 、 文化 工作者 ，"
102,"抗議 傷害 臺灣 人民 的 基本人權 ，"
103,"「 穿烏衫 、 戴喙罨 」 和平的 靜坐 ，"
104,"抗議 警方 佇 陳雲林 來臺灣 的 這段 時間 ，"
105,"維安 執法 過當 ，"
106,"表達 上強烈 抗議 。"
107,"政府 為著 接待 陳雲林 無惜 破壞 臺灣的 民主 ，"
108,"予人 感覺著 無法 理解 和 不滿 ，"
109,"英國 臺灣協會 對於 馬總統政府 ，"
110,"「 干焦講 經濟 、 拋棄主權 」 的 態度 ，"
111,"要求 馬英九政府 佮 行政院長 ，"
112,"必須 公開向 國人 道歉 ，"
113,"警政署長 王卓鈞 、"
114,"國安局長 蔡朝明 立刻 下台 ，"
115,"立法院 應該 趕緊 修改 ，"
116,"限制 人民 權利 的 集會遊行法 。"
117,"交通大學 人文社會系 助理教授 許維德 頂 濟濟 教授 ，"
118,"昨日 嘛發起 「 捍衛 自由人權 、 抗議 警察 暴力 」 的 靜坐 連署 發動 ，"
119,"咻應 佇 臺北的 學界 靜坐 訴求 ，"
120,"獲得 誠濟 教授 佮 學生 響應 。"
121,"這陣 以 大學生 為主 ，"
122,"強調 毋是 政黨 抑是 團體 動員的 抗議 群眾 ，"
123,"𪜶 痛批 海協會 代表團 來臺灣 短短 幾日 ，"
124,"臺灣人民 好不容易 建立的 民主自由 體制 ，"
125,"佇 滿城 警力 、 威嚇的 氣氛 和 強勢的 圍堵中 ，"
